;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);UMIDADE RELATIVA DO AR, HORARIA (%);UMIDADE RELATIVA DO AR, HORARIA (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, RAJADA MAXIMA (m/s);VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);VENTO, VELOCIDADE HORARIA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
;sum;min;max;mean;mean;min;max;mean;min;max;mean;min;max;mean;min;max;mean;min;max;mean;min;max;mean
DATA (YYYY-MM-DD);;;;;;;;;;;;;;;;;;;;;;;
2008-03-07;0.0;941.0;944.0;943.0;;18.0;20.0;19.0;13.0;13.0;13.0;31.0;84.0;61.916666666666664;46.0;360.0;162.375;1.0;3.0;2.0;0.0;0.0;0.0
2008-03-08;0.0;943.0;944.0;943.4;1587.5;;;;16.0;18.0;17.333333333333332;51.0;85.0;70.54166666666667;5.0;336.0;98.625;7.0;7.0;7.0;1.0;3.0;2.25
2008-03-09;0.0;942.0;946.0;944.0;49.0;;;;;;;48.0;88.0;72.16666666666667;19.0;349.0;92.375;6.0;6.0;6.0;2.0;4.0;3.0
2008-03-10;0.0;941.0;943.0;941.5;881.5;21.0;23.0;22.0;14.0;20.0;17.2;54.0;93.0;75.20833333333333;9.0;359.0;129.375;4.0;5.0;4.333333333333333;1.0;3.0;2.0
2008-03-11;0.0;941.0;942.0;941.5;430.0;20.0;20.0;20.0;18.0;19.0;18.5;83.0;94.0;91.5;134.0;234.0;162.16666666666666;6.0;7.0;6.5;1.0;3.0;2.1666666666666665
2008-03-12;0.0;942.0;943.0;942.3333333333334;1689.6666666666667;17.0;21.0;19.0;16.0;16.0;16.0;59.0;96.0;85.0;86.0;243.0;136.04166666666666;3.0;3.0;3.0;1.0;3.0;2.25
2008-03-13;0.0;944.0;945.0;944.3333333333334;1529.0;20.0;21.0;20.5;14.0;15.0;14.5;53.0;92.0;76.79166666666667;96.0;174.0;131.04166666666666;7.0;7.0;7.0;2.0;2.0;2.0
2008-03-14;0.0;946.0;946.0;946.0;1324.0;20.0;21.0;20.5;14.0;14.0;14.0;66.0;94.0;80.45833333333333;104.0;188.0;140.95833333333334;;;;2.0;3.0;2.6666666666666665
2008-03-15;0.0;948.0;948.0;948.0;2656.5;15.0;15.0;15.0;13.0;13.0;13.0;46.0;92.0;72.625;55.0;172.0;103.75;3.0;8.0;5.75;3.0;3.0;3.0
2008-03-16;0.0;947.0;949.0;947.75;1674.0;19.0;21.0;20.0;10.0;10.0;10.0;45.0;87.0;66.0;14.0;352.0;93.66666666666667;6.0;7.0;6.5;2.0;5.0;3.3333333333333335
